
% time 5.0000
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
         1  -20.8524    6.1035    0.0000    0.0000    0.0010
         1  -20.6968    5.9706    0.0000    0.0000    0.0020
         1  -20.5411    5.8377    0.0000    0.0000    0.0031
         1  -20.3855    5.7047    0.0000    0.0000    0.0041
         1  -20.2299    5.5718    0.0000    0.0000    0.0051
         1  -20.0742    5.4389    0.0000    0.0000    0.0061
         1  -19.9186    5.3060    0.0000    0.0000    0.0072
         1  -19.7630    5.1731    0.0000    0.0000    0.0082
         1  -19.6073    5.0401    0.0000    0.0000    0.0092
         1  -19.4517    4.9072    0.0000    0.0000    0.0102
         1  -19.2961    4.7743    0.0000    0.0000    0.0113
         1  -19.1404    4.6414    0.0000    0.0000    0.0123
         1  -18.9848    4.5085    0.0000    0.0000    0.0133
         1  -18.8291    4.3756    0.0000    0.0000    0.0143
         1  -18.6734    4.2428    0.0000    0.0000    0.0154
         1  -18.5177    4.1099    0.0000    0.0000    0.0164
         1  -18.3620    3.9771   -2.3618    1.9739    3.0953
         1  -18.2063    3.8443    2.3495   -2.0167    0.0000
%   fiber f1:0002
         2   -3.1823   23.6468    0.0000    0.0000    0.0019
         2   -3.2768   23.8212    0.0000    0.0000    0.0039
         2   -3.3712   23.9957    0.0000    0.0000    0.0058
         2   -3.4657   24.1701    0.0000    0.0000    0.0077
         2   -3.5603   24.3446    0.0000    0.0000    0.0096
         2   -3.6548   24.5190    0.0000    0.0000    0.0116
         2   -3.7493   24.6934    0.0000    0.0000    0.0135
         2   -3.8439   24.8678    0.0000    0.0000    0.0154
         2   -3.9385   25.0421    0.0000    0.0000    0.0173
         2   -4.0332   25.2165    0.0000    0.0000    0.0193
         2   -4.1279   25.3909    0.0000    0.0000    0.0212
         2   -4.2226   25.5652    0.0000    0.0000    0.0231
         2   -4.3173   25.7395    0.0000    0.0000    0.0251
         2   -4.4120   25.9138    0.0000    0.0000    0.0270
         2   -4.5068   26.0881    0.0000    0.0000    0.0289
         2   -4.6016   26.2624    0.0000    0.0000    0.0308
         2   -4.6964   26.4366    0.0000    0.0000    0.0328
         2   -4.7912   26.6109    0.0000    0.0000    0.0347
         2   -4.8860   26.7852    0.0000    0.0000    0.0366
         2   -4.9809   26.9594    0.0000    0.0000    0.0386
         2   -5.0758   27.1336    0.0000    0.0000    0.0405
         2   -5.1706   27.3079    0.0000    0.0000    0.0424
         2   -5.2655   27.4821    0.0000    0.0000    0.0443
         2   -5.3604   27.6563    0.0000    0.0000    0.0463
         2   -5.4553   27.8306    0.0000    0.0000    0.0482
         2   -5.5501   28.0048    0.0000    0.0000    0.0501
         2   -5.6450   28.1790    0.0000    0.0000    0.0520
         2   -5.7398   28.3533    0.0000    0.0000    0.0540
         2   -5.8347   28.5276    0.0000    0.0000    0.0559
         2   -5.9295   28.7018   -0.0290   -0.0962    0.1285
         2   -6.0243   28.8761   -0.0186    0.1383    0.0000
%   fiber f1:0003
         3  -21.1919  -31.7339    0.0000    0.0000    0.0160
         3  -21.0645  -31.5791    0.0000    0.0000    0.0319
         3  -20.9371  -31.4243    0.0000    0.0000    0.0479
         3  -20.8097  -31.2695    0.0000    0.0000    0.0638
         3  -20.6823  -31.1146    0.0000    0.0000    0.0798
         3  -20.5549  -30.9598    0.0000    0.0000    0.0957
         3  -20.4275  -30.8050    0.0000    0.0000    0.1117
         3  -20.3002  -30.6502    0.0000    0.0000    0.1277
         3  -20.1728  -30.4953    0.0000    0.0000    0.1436
         3  -20.0454  -30.3405    0.0000    0.0000    0.1596
         3  -19.9180  -30.1857    0.0000    0.0000    0.1755
         3  -19.7906  -30.0309    0.0000    0.0000    0.1915
         3  -19.6633  -29.8760    0.0000    0.0000    0.2074
         3  -19.5359  -29.7212    0.0000    0.0000    0.2234
         3  -19.4085  -29.5664    0.0000    0.0000    0.2394
         3  -19.2810  -29.4116    0.0000    0.0000    0.2553
         3  -19.1536  -29.2568    0.0000    0.0000    0.2713
         3  -19.0262  -29.1020    0.0000    0.0000    0.2872
         3  -18.8987  -28.9473    0.0000    0.0000    0.3032
         3  -18.7713  -28.7925    0.0000    0.0000    0.3191
         3  -18.6438  -28.6378    0.0000    0.0000    0.3351
